Number	IsWishList	Title	Description
11335	0	Crash report from Dynamo 2.3.0.5885	I repaired and reinstalled Revit 2020. Currently on the latest version. The same issues occurs. Expected the issue to be of software version, but it doesn't seem so. Have a few dynamo packages installed.  Archi-lab, BattleBIM, Bimorph, Bumblebee, capturerefinery, Clockworks for dynamo 0.7 & 2x, Danimo, Datashapes, DynaBleau, Dynamotext, Dynanimator, Dynaweb, Dynaworks2.0, EvolveLAB-Beaker, ExportFBX, Lunchbox for dynamo, Lunchbox quadgrid, Mesh Tool kit, Modelical, Rhythm, Slingshot, Spring nodes, Zero touch nodes
24	1	Code blocks Syntax highlighting issues in multiline strings	Typed a multiline string in a code block The entire string highlighted in the same color (brown). Subsequent lines are coloured black with numbers contained in those lines highlighted in blue.
25	1	PreviewPinned is read only	tried to set PreviewPinned attribute of nodes programmatically.  It says in the API documentation that it is get,set no issue issue !  NodeModel.PriviewPinned is read only
9424	0	Surface.PointAtParameter 	Intersect a cuboid with a surface, and attempted a Surface.PointAtParameter node after that. Points at the middle of the resulting surfaces (green in the screenshot below). Points at other locations (red in the screenshot below).    This issue reproduces with various unexpected results from cuboid intersections, and persists into Dynamo for Revit versions as well (initially brought to my attention via this forum post -   Remove the .txt to get a graph that readily reproduces the issue. Additional setups may be required to find other error states (as indicated by the results of the Dynamo for Revit graph in the forum post above) [exampleFilePointOnSurface.dyn.txt](
60	1	Wish Package Manager Install Without Dependencies option	Try to install or upload packages Successes Failures
7798	0	errors when loading assemblies/references that are already loaded. 	Open Dynamo Load package references without errors. This:   Again, the issue here is that Dynamo Player already loads a version of EO.WebBrowser DLL, and that causes it to fail, when I load a version of it from Mandrill.   I guess what I am asking for is to just dismiss the errors caused by the fact that some other package already loaded this DLL into the context. Why does it bubble up? Did I miss something?   Cheers!
9974	0	Replication in Range Node.	Attempted to use cross product lacing to build series of ranges - say count from 0..2 to 4..5. [[[0,1,2,3,4],[1,2,3,4],[2,3,4]],[[0,1,2,3,4,5],[1,2,3,4,5],[2,3,4,5]]] Shortest lacing by default, in all cases. [[0,1,2,3,4],[1,2,3,4,5]]. List levels also have no impact, almost as if replication wasn't implemented. Unclear why this would be needed, but if the intent is to not have replication then the interface for it should be removed as it is with List.Create and If nodes (the often documented issues there may be related). Issue persists as far back as 0.9.1. Sequence node may have a similar issue.
10953	0	Crash report from Dynamo 2.3.0.5885	Just opened Dynamo in Revit 2020 and it crashed. Dynamo´s opening window. Dynamo has crashed window. A Dynamo graph wasn´t even opened.
9185	0	Surface.SubtractFrom do not handle specific Solids	Used the Surface.SubtractFrom method. The surface was a square, the trimming entity was a solid created from surfaces that only shared a point. A Surface correctly trimmed Output from SubtractFrom : Empty List   Note : The bug only happens if the two surfaces only share a point. If the two trimming surfaces' intersection is a line or a Surface, Surface.SubtractFrom behaves as it should.  The bug :    If the intersection is a Surface, no bug :    If the intersection is a Line, no bug :
10054	0	Crash report from Dynamo 2.3.0.4855	I was exporting the Dynamo Graph to Refinery 0.35 The Refiner GUI Crash Window Topologic and Refinery
10258	0	Cylindar.ByRadiusHeight node issue. 	Drew a cylinder by radius and height. The cylinder aligned to the coordinate system which is the first input. The cylinder not aligned to the coordinate system, followed by my keyboard as I banged my head on it thinking I had messed up my coordinate system. Winds up the Cylinder.ByRadiusHeight node doesn't maintain the the normal correctly when using rotated coordinate systems.  Geometry transform aligns properly as shown in this GIF:   [Cylinder Issue.dynRenamedToTXTForGitHUB.txt](
6752	0	Crash Report - 20160619	While in Automatic Run mode, deleted all nodes on canvas A screenshot of file/nodes concerned (same as posted at [this issue]( A clean canvas At least two Error Windows (might have closed some thinking they were the same)... 1. Object reference not set to an instance of an object.     at ProtoScript.Runners.ChangeSetApplier.DeactivateGraphnodes(List1 nodeList)    at ProtoScript.Runners.ChangeSetApplier.Apply(Core core, RuntimeCore runtimeCore, ChangeSetData changeSet)    at ProtoScript.Runners.LiveRunner.SynchronizeInternal(GraphSyncData syncData)    at ProtoScript.Runners.LiveRunner.UpdateGraph(GraphSyncData syncData)    at Dynamo.Scheduler.UpdateGraphAsyncTask.HandleTaskExecutionCore()    at Dynamo.Scheduler.AsyncTask.Execute()  2. Exception of type 'ProtoCore.Exceptions.CompilerInternalException' was thrown.     at ProtoCore.Core.BfsBuildSequenceTable(CodeBlock codeBlock, SymbolTable[] runtimeSymbols)    at ProtoCore.Core.BfsBuildSequenceTable(CodeBlock codeBlock, SymbolTable[] runtimeSymbols)    at ProtoCore.Core.GenerateExecutable()    at ProtoScript.Runners.ProtoScriptRunner.CompileAndGenerateExe(List1 astList, Core compileCore, Context context)    at ProtoScript.Runners.LiveRunner.Compile(List1 astList, Core targetCore)    at ProtoScript.Runners.LiveRunner.CompileAndExecute(List1 astList)    at ProtoScript.Runners.LiveRunner.CompileAndExecuteForDeltaExecution(List1 astList)    at ProtoScript.Runners.LiveRunner.SynchronizeInternal(GraphSyncData syncData)    at ProtoScript.Runners.LiveRunner.UpdateGraph(GraphSyncData syncData)    at Dynamo.Scheduler.UpdateGraphAsyncTask.HandleTaskExecutionCore()    at Dynamo.Scheduler.AsyncTask.Execute()
11015	0	Crash report from Dynamo 2.3.0.5885	Run the script with custom nodes of clockwork package and crash spot elevations in the current view Sometimes create a few spot elevation but there was some with wrong host Clockworks 2x
11234	0	Crash report from Dynamo 2.3.0.5885	This DYN has been in use before, but I've been making continual changes to it.  It was created in 1.3x and I recently upgraded it to 2.x.    It was working after swapping out the Clockwork nodes for their 2.x versions.  I tried to use it today and started seeing errors and a dialog box recomending that I restart Dynamo. The DYN had been completing with no errors. Numerous nodes that were working are turning yellow. Clockwork 2.3 spring nodes
12	1	Add support for <see> tag in XML documentation	Added <see> tags to my XML documentation in ZT package. The text, maybe even some change in colour or bolding of the reference in the tag. The documentation text terminates as soon as the tag is encountered, and no other text is shown beyond the tag - basically its not supported, which is a pain considering the utility of <see> tags in the codebase.   Can you add support? Bolding or changing the colour of text in see tags (if used appropriately by third-party developers) would also be advantageous to users providing them with additional references to other nodes which they may not be aware of.
10984	0	Tooltips disabled when geometry preview is turned off.	Hover over a node with a disabled preview state The tooltip help, like this: No tooltip help, like this:
8088	0	Geometry Working Range indiscriminately limits floating point precision causing failures where decimal places are required beyond the limit	Simple XYZ coincident test between two points, rounded to 4DP (typical approach I take with such tests regardless of which computational design tool I use to avoid floating point inaccuracies). The requirement was to use the result to establish if sets of lines overlap and remove them. For the coincidence test to return true in every valid case within the rounded precision input. With precision rounded, I expect every coincident result to return true. However, the test returned false in places even though the points were unquestionably coincident. I found it was caused by the Geometry Working Range. The size of the model in question is not large: 260m x 260m.  As Geometry Working Range limits the DP, any calculations are limited to the same number of DPs. Where DPs matter, like for example, when checking if two points are coincident, this feature becomes a hindrance. The major problem is this: without increasing the Geometry Working Range, Dynamo wont output the geometry. When its increased to output the geometry, the DP limitation then scuppers any workflows which depend on a predefined number of DPs.   One solution is to make the predefined precision bigger (i.e. less DP = less accuracy = not good) and therein lies the problem. Any node that hard-codes precision will fail/function inconsistently as a result of the geometry working range (I have published a node called Curves.RemoveDuplicates with a hard-coded precision of 6DP - it fails to return accurate results as a consequence of the Geometry Working Range, see examples below).   To compound the problem, any node which has a precision input (like OOTB Point.PruneDuplicates) will also work inconsistently, and any graphs which worked fine prior to the introduction of the Geometry Working Range feature that include such nodes, may inadvertently break once the user upgrades to newer versions which do include it...and then they have to work out its this phenomenon causing the problem!   Hence, I regard this a quite a serious issue as it makes the use of Dynamo inconsistent and unpredictable or adds an unnecessary complication to any geometry-based node.   cc @kronz this is the 'major' issue with Geometry Working Range I mentioned on Twitter.  FYI @radumg  Examples: The following example worked without issue prior to the introduction of Geometry Working Range.  DWG import of a road. The intention is to convert the element into a floor. The requirement is to first, exatract the top faces, then get their edges and test for coincidence by testing where centre points are coincident. By virtue of the faces being derived from a valid solid entity, the only overlapping curves will be guaranteed where two of its faces touch and the outer edges never overlap, making them easy to identify. In addition, the centre points are guaranteed to be consistent as the edges are lines.  The curves to test    The result after processing  Fails when with Geometry Working Range is set to medium (which is 4DP according to the dialog box in Dynamo) Why? Because the script is designed to only return perimeter curves if no coincident centre points are found, and we know any curve that isn't a perimeter curve will have an overlap. Hence, where 'webbing' is occurring is where the DP rounding cap prevents the correct result from being yield (The script tests XYZ coordinates and uses the Python round() method with a predefined DP of 6 internally to ascertain coincidence):   Increasing the DP within the script If I re-run the script this time increasing the predefined DP to 4, works as expected. The problem I have with this is in situations where tolerance is mission critical. In these cases, Dynamo cant be used due to this problem, not to mention why it isn't documented anywhere and why it even occurs in the first place:    Curves.RemoveDuplicates In another example, Curves.RemoveDuplicates uses an internal DP precision of 6 to basically capture practically any duplicate. But since this is higher than the DP cap imposed by the Geometry Working Range, it outputs inconsistent results or fails to work (it should have found 208 duplicates, but instead finds none - and no, its not a problem with the node itself!):    I'm used to working without restrictions on DP and, while maybe being pedantic, I would expect this type of limitation to be clearly flagged up at the very least, especially for engineering scenarios where precision matters.
10908	0	Dynamo Viewport Jumps/Pans when I press Run	Pressed Run The Viewport to stay the same as before I pressed Run The Viewport 'Jumped'/'Panned' to a different area of the graph [bandicam 2020-07-19 13-20-06-370.zip](
10338	0	Fatal error pasting polylines	1 Opend a dynamo script 2 opend a dwg file 3 select polylines 4 paste ploly lines in empty file (this happends only when i have Dynamo open) pasting poly lines in empty file tatal error
9576	0	Custom nodes don't work/busted + horrendous developer experience	Created a custom node. A working custom node. Null/failed execution with no exception. [begins slow clapping].  I believe this issue is caused by a limitation in CN's which for reasons unknown, cannot support a mix of singleton and list inputs? Whenever I create these things (which gladly is hardly ever), it always feels like a lottery with no certainty that strong-typed inputs with any rank declaration will yield the desired result hence why the developer experience is so bad.  I always strong-type the inputs and declare the rank for inputs requiring lists but no matter what i try (var[], var[]..[], convert to list internally etc), the node fails to execute and returns null. This limitation has blighted Dynamo for years - when will it be fixed?
10791	0	Ability to Turn off the Renamed label	Testing out the new releases I found that there is absolutely no way to (reliably) control this freaking label. Some way to control this nonsense.. I mean, come on, you guys gave us a method to show/hide the [line numbers]( This label is troubling for a number of reasons. 1. it is alarming. For a new user, this can most definitely seem like an error, ( i have asked around and that is in fact how folks feel). 2. We have been coaching people to rename nodes for quite some time for Dynamo Player and Refinery. Now that people have a ton of historic graphs with that strategy, they are going to see a lot of rename labels. 3. For my specific case: I rename nodes in Rhythm with a view extension on placement to auto-document. This sucks for me to have to undo now. 4. Is the hover tooltip really not enough to know the original node name?!    --- FWIW, I really really appreciate all the UI love going on in Dynamo, but changes like this feel a bit reckless and can definitely lead to cluttering of the UI.   With no way to reliably control stuff like this as a package developer, it worries me.   FYI: @Amoursol , @SHKnudsen , @radumg
10817	0	Crash report from Dynamo 2.4.1.6394	Open new dynamo workspace and places import data node Data.importexcel from dynamo internal library node in graph Error message pop up window None
9474	0	Dynamo 2.0 nodes cannot unpack dictionaries!	Tried to work on a list of dictionaries a result The core nodes provided no error, just null value for each dict. The core D4R nodes actually provided a useful error: >Warning: Element.Name expects argument type(s) (Revit.Elements.Element), but was called with (DesignScript.Builtin.Dictionary).    I would have expected that we would automatically get the values of the dictionary items as an unsorted list and that the design script VM would map our function to each value item in that unsorted list. Instead we get the above. If we add a Dictionary.Values node, we can fix the result but that seems counter-intuitive to the way things just worked before.
48	1	Watch 3D behaves weirdly	I want to have my previews turned off in their entirety in a graph - and use 'Watch 3D' nodes to showcase different bits of the Background Preview (To keep a clean graph) I expected to see the Background Preview turned on in my 'Watch 3D' node as it technically has it's preview turned on. However it seems bound to the previous node. As above in 'What did you do' - the nodes are linked and I don't believe they should be.
11337	0	String of ConcreteType being replaced on open	Used ConcreteType in a string input, reopen graph and it's replaced with $type ConcreteType in my string input $type in my string input  DYN file with a .txt extension is attached. [string issue.dyn.txt](
10045	0	Curve.PointAtEqualChordLength	On a 2 identic Lines I used the 2 functions Curve.PointsAtEqualSegmentLength and CurveAt EqualChordLength with the same number of divisions (10).   The function Curve.PointsAtEqualSegmentLength gives 9 points along the line. As the line extremity points are not included in this list this function divide the line in 10 parts. Everything is fine (see Line 1 group in the attached graph)  The function Curve.PointAtEqualChordLength gives 10 points along the line. As the line extremity points are not included in this list this function is not dividing the line into 10 parts as requested but 11. (see Line 2 group in the attached graph) I expect to get the number of points, with respectively the same position (as the line is a straight segment), along the curve when I use the function Curve.PointsAtEqualSegmentLength or Curve.PointAtEqualChordLengthwith the same division number. In order to obtain the same result on the same line with those 2 function I had to define a number of divisions equal to 10 for the function Curve.PointsAtEqualSegmentLength (see Line 3 group in the attached graph) and a number of divisions equal to 9 for the function CurveAt EqualChordLength (see Line 4 group in the attached graph).  The graph on the attached picture can be found [here](  Thanks.  Regards.  Emmanuel.
10647	0	Dynamo Crash when I try To open a long script	I was trying to open a heavy script I was expecting the document to open, but it crashed insteead
9236	0	Definitions fail to debug typo's/undeclared var's and throw no exception or warning when called	Wrote a def A working def or an exception when called if it contains bugs. A def which fails to debug and still executes when there is a typo/undeclared variable:
37	1	[Improvement] Show Connectors Off shows Connectors of Selected nodes On	Turned off the 'Show Connectors' option under View -> Connectors. When I select a Node in this mode, that the wires both going into and out of that node become visible. There are performance increases on monster graphs using this feature - but you lose the ability to read them.   In order to debug in a step-by-step process, having the wires from your selected node(s) show up would be hugely beneficial. No wires at all as advertised!
11131	0	Отчет о сбое в Dynamo 2.3.0.5885	tipe in Design Script for testing Categories.ByName(Rooms); Categories Glopal mistake of dynamo none
11351	0	Crash report from Dynamo 2.3.0.5885	Click 'Search for package...' Standard package manager Dynamo crashed None
11364	0	ConvexHull2D output not as expected	Using ConvexHull2D to achieve a curve but it did not go as what I wanted. I was hoping to achieve the convex hull with the blue lines included. Is there a way to achieve what I want without ConvexHull2D? I need a general nodes that involves all the outer points. The two points that I wanted are not included in the convex hull.
11119	0	Crash report from Dynamo 2.3.0.5885	I put the script to run the script running normally the bug, but it seems that the nodes are working anyway... it's just annoying cause it shows me the bug every single run Rhythm v.2020.2.13 GeniusLoci v.2019.9.4 Clockwork v.2.3.0 Zebra v.2016.7.2 MEPover v.2018.1.1 Crumple v.0.0.1 Orchid    v. 203.1.2.7323 Chynamo v.0.8.5
9602	0	Minor - RunCompleted event is never invoked. (Seems deprecated).	Hit run (also happens when set to automatic). The event RunComplete in DynamoModel should be invoked once the graph has finish execution. The event is not fired. Looking through the source this event is just never invoked. It looks as though this event is deprecated (or was never used). Instead the event EvaluationComplete is invoked on graph completion instead. The event RunComplete and method OnRunComplete are public facing members so should be deprecated. Users should be notified that EvalutionComplete is the correct event to subscribe to.
16	1	Feature Request Keyboard Interrupt	Had an in-progress Python script get stuck in an infinite loop Some sort of way to stop the script without crashing / force-quitting Dynamo Dynamo stuck in infinite loop.  Lost unsaved work, and did not have record of faulty Python code because it was unsaved.
10721	0	Nodes with identical behavior but different names	Looked for nodes to get Isolnes and got 1. Curve.ByIsoCurveOnSurface 2. Surface.GetIsoline The two nodes that perform different tasks The nodes have different names, but are identical
11097	0	Crash report from Dynamo 2.3.0.5885	Opened Revit and tried to open Dynamo Dynamo with all the packages included Some packages were missing and could not use quite a few. tried to use Data.importexcel but wasn't able to
7	1	Why is Mesh not treated as a Geometry?	Tried to translate a mesh A mesh that has been translated The following error: Warning: Geometry.Translate expects argument type(s) (Geometry, double, double, double), but was called with (Autodesk.DesignScript.Geometry.Mesh, int, int, int).  Which is ironic because it clearly states that Mesh is a subclass of Geometry and yet a method that applies to the parent class cannot apply to the child class. It violates all rules of object oriented programming. None
10995	0	Dictionary with a  results in broken data previews.	Built dictionaries with : characters Data previews showing the Key Value pairs This:    Data isn't being lost (as you can see when quarrying the keys), but it isn't being displayed correctly either.
44	1	Package manager (webhook) integrations	Wanted to update a package I had already published. - ability to use DynamoSandbox to publish package/update and not have to use Revit - ability specify which files were updated or some instructions Dynamo for Revit allows you to re-publish the folder where it downloaded & installed the package as a new version.  You thus have to : - install package from package manager - overwrite DLL/dyf files where Revit installed them - publish new version from Revit  This process is never explained in the UI and there's no way to change this behaviour. Had to publish an update to the update to get it right 👎 I would like to be able to update a package simply by : - publishing a new release on GitHub for example - pushing to a designated branch on git  Ideally, we'd have a webhook integration, which would support both scenarios above and then some.  If you're planning to decouple the package manager from this repo, please take this issue with it.
10623	0	Incorrect Split of surface by polysurface.	Split a surface using a crisscross polysurface to get a grid of surfaces. A checkerboard of surfaces split by the polysurface. Not a checkerboard but overlapping and useless strips, and in some cases nearly a full surface. While splitting U then V solves the issue this adds a layer of computational complexity which would be best avoided.     [error on split.dyn.txt](
